exposure_noise,method,episodes,success_rate,mean_travel_cost,median_travel_cost,mean_regret,mean_collisions,mean_replans,mean_planned_blocked_edges,mean_risk_sum
0.0,no_decay,160.0,0.4375,36.947055267234006,40.98377003637636,26.243557147484537,1.54375,2.54375,1.54375,0.0
0.0,fixed_hazard,160.0,0.4375,36.947055267234006,40.98377003637636,26.243557147484537,1.54375,2.54375,1.54375,2.2524497097543503
0.0,age_decay,160.0,0.5,35.56446349349307,35.82209908207027,24.860965373743603,1.4375,2.4375,1.4375,1.7861559262784499
0.0,uncertainty_only,160.0,0.4,37.547378242995734,42.03277891483256,26.843880123246265,1.5875,2.5875,1.5875,1.856087270202115
0.0,cemd,160.0,0.60625,31.873906450861814,30.357773639463844,21.17040833111235,1.2125,2.2125,1.2125,0.9982565097172464
0.0,oracle_prob,160.0,0.60625,31.108431731741412,30.343300515971258,20.404933611991947,1.16875,2.16875,1.16875,1.758803173188252
0.25,no_decay,160.0,0.4375,36.20916245260022,41.07871465373082,25.624693239360877,1.50625,2.50625,1.50625,0.0
0.25,fixed_hazard,160.0,0.4375,36.20916245260022,41.07871465373082,25.624693239360877,1.50625,2.50625,1.50625,2.1938800974361747
0.25,age_decay,160.0,0.4125,36.274285541211334,41.234289505006075,25.689816327971993,1.5,2.5,1.5,1.7043433447481953
0.25,uncertainty_only,160.0,0.43125,36.14266151372231,41.15163604060301,25.558192300482972,1.5,2.5,1.5,1.8237572771157624
0.25,cemd,160.0,0.50625,32.43133188168728,33.34390819434017,21.846862668447937,1.2625,2.2625,1.2625,0.8791637797682447
0.25,oracle_prob,160.0,0.6125,30.995794016973157,30.328932702308002,20.41132480373382,1.1625,2.1625,1.1625,1.7155739638414662
0.5,no_decay,160.0,0.51875,33.82815871260304,32.4564397552851,23.12631603517067,1.35625,2.35625,1.35625,0.0
0.5,fixed_hazard,160.0,0.51875,33.82815871260304,32.4564397552851,23.12631603517067,1.35625,2.35625,1.35625,2.378562411466534
0.5,age_decay,160.0,0.4625,35.852152764987856,40.30804438521339,25.15031008755549,1.48125,2.48125,1.48125,1.8130064000456776
0.5,uncertainty_only,160.0,0.43125,36.172537898276296,40.230510431005314,25.47069522084393,1.50625,2.50625,1.50625,1.8566795531115445
0.5,cemd,160.0,0.55,32.68895862863772,31.088648620657878,21.98711595120535,1.275,2.275,1.275,0.9080167506692536
0.5,oracle_prob,160.0,0.59375,31.24368962950453,30.581652581237297,20.541846952072163,1.18125,2.18125,1.18125,1.7996389471828942
0.75,no_decay,160.0,0.4625,36.19391831384423,41.04519160730341,25.451604679365172,1.4875,2.4875,1.4875,0.0
0.75,fixed_hazard,160.0,0.4625,36.19391831384423,41.04519160730341,25.451604679365172,1.4875,2.4875,1.4875,2.1625040001632256
0.75,age_decay,160.0,0.49375,34.87896029646257,40.019813594266935,24.136646661983516,1.4,2.4,1.4,1.609435804652147
0.75,uncertainty_only,160.0,0.45,35.90440969612218,41.060116342608936,25.162096061643123,1.4625,2.4625,1.4625,1.771710006277819
0.75,cemd,160.0,0.53125,32.501865790819785,32.3393928813009,21.759552156340728,1.25625,2.25625,1.25625,0.7872534743552724
0.75,oracle_prob,160.0,0.60625,30.33960612053251,30.372598782995176,19.59729248605345,1.125,2.125,1.125,1.6222335474055756
1.0,no_decay,160.0,0.5,34.720459774393156,36.53478332918535,24.149956752329416,1.4,2.4,1.4,0.0
1.0,fixed_hazard,160.0,0.5,34.720459774393156,36.53478332918535,24.149956752329416,1.4,2.4,1.4,2.2344749434082867
1.0,age_decay,160.0,0.525,33.94908716417771,34.02891546743202,23.378584142113972,1.34375,2.34375,1.34375,1.732835750254014
1.0,uncertainty_only,160.0,0.41875,36.066739268969776,42.02873570844511,25.496236246906037,1.48125,2.48125,1.48125,1.820264426543483
1.0,cemd,160.0,0.575,31.860537974809596,31.13564803108183,21.290034952745856,1.21875,2.21875,1.21875,0.6468234660018214
1.0,oracle_prob,160.0,0.56875,30.957448081008867,30.677984579846772,20.386945058945127,1.1625,2.1625,1.1625,1.616104046166401
